Enfermedad,Abstract,Tratamiento,Diagnostico
Leucemia,"La leucemia es un grupo de enfermedades malignas de la médula ósea (cáncer hematológico)[1]​ que provoca una proliferación  anormal de leucocitos en ella. Sin embargo, en algunos tipos de leucemias también pueden afectarse cualquiera de los precursores de las diferentes líneas celulares de la médula ósea, como los precursores mieloides, monocíticos, eritroides o megacariocíticos.[2]​ Las células cancerígenas impiden que se produzcan glóbulos rojos, plaquetas y glóbulos blancos maduros (leucocitos) saludables. Entonces, se pueden presentar síntomas potencialmente mortales a medida que disminuyen las células sanguíneas normales. Las células cancerosas se pueden propagar al torrente sanguíneo y a los ganglios linfáticos. También pueden viajar al cerebro y a la médula espinal (el sistema nervioso central) y otras partes del cuerpo.[3]​ El desarrollo de la enfermedad es extremadamente variable variando de necesidad de intervención inmediata en las formas más agresivas hasta un trascurso sin necesidad de tratamiento durante más de 20 años en algunas formas de buen pronóstico de la leucemia linfoide crónica[4]​.","El tratamiento de la leucemia puede incluir:[16]​

Medicamentos o quimioterapia por vía intravenosa u oral o quimioterapia por vía intratecal (medicamentos introducidos en la médula espinal con una aguja, en el área denominada espacio subaracnoideo).[17]​
Radioterapia.
Trasplante de médula ósea o de sangre de cordón umbilical.
Terapia biológica.
Medicamentos para prevenir y tratar náuseas y otros efectos secundarios del tratamiento, transfusiones sanguíneas (de glóbulos rojos o plaquetas), y antibióticos para prevenir y tratar infecciones.En un estudio realizado en el cual los pacientes fueron sometidos a un régimen de ejercicio aeróbico, el cual fue realizado en una bicicleta reclinada con una duración de 10 a 20 minutos de 3 a 4 veces por semana durante 4 a 5 semanas y un entrenamiento de resistencia como parte de un protocolo de ejercicio para atenuar la pérdida de masa muscular observada en pacientes con una estancia larga en cama, la cual es frecuente en pacientes que reciben tratamiento para leucemia, los resultados obtenidos mostraron una reducción significativa en cuanto a la fatiga y depresión,  manteniendo la masa muscular de los pacientes, y dejando evidencia de que una combinación de entrenamiento aeróbico y de resistencia, crea un efecto positivo tanto físico como psicológico en pacientes que se encuentran en tratamiento.[18]​","El diagnóstico se basa generalmente en repetidos conteos sanguíneos completos y un examen de médula ósea tras los síntomas observados. La biopsia de un ganglio linfático puede realizarse también para diagnosticar ciertos tipos de leucemia en algunas situaciones. Una vez diagnosticada la enfermedad, una analítica sanguínea puede utilizarse para determinar el grado de daño al hígado y a los riñones o los efectos de la quimioterapia en el paciente. Para observar los posibles daños visibles debidos a la leucemia, se pueden utilizar radiografías (en huesos), resonancia magnética (cerebro) o ultrasonidos (riñón, bazo e hígado). Las tomografías computarizadas rara vez se utilizan para revisar los nódulos linfáticos en el pecho.
Si bien algunas leucemias tienen carácter fulminante, otras pueden ser enfermedades indolentes, de presentación insidiosa. Ya que no existe ningún síntoma que por sí solo y de manera específica permita diagnosticar esta enfermedad, siempre debe descartarse la presencia de leucemia en presencia de manifestaciones clínicas sugerentes, tales como un hemograma alterado. El método más seguro para confirmar o descartar el diagnóstico es mediante la realización de un mielograma y, solo en casos seleccionados, puede ser necesario realizar una biopsia de la médula ósea."
Dermatosis ampollar IgA lineal,"La dermatosis ampollar IgA lineal (DAL), también denominada dermatosis IgA lineal,[1]​ es un raro trastorno subepidérmico de naturaleza autoinmune, heterogéneo, con formación de ampollas,[2]​ que se caracteriza por la presencia de depósitos de IgA en disposición lineal en la unión dermoepidérmica.[3]​ La etiología no se conoce completamente.  Sin embargo, se ha asociado con diversos fármacos, infecciones, así como tumores malignos.[2]​·[4]​·[5]​","Dos terapias comunes son la dapsona y la sulfapiridina, que reducen la respuesta inflamatoria y logran la remisión de las lesiones en un período de tiempo variable.[1]​·[6]​ Existe riesgo de anemia hemolítica en pacientes con deficiencia de glucosa-6-fosfato deshidrogenasa, como efecto secundario del tratamiento con dapsona.[6]​
Algunos pacientes pueden requerir dosis bajas de prednisona inicialmente para suprimir la formación de ampollas.[6]​
Las ampollas no necesitan cuidados especiales, siempre que permanezcan intactas. Las lesiones rotas y las erosiones se deben cubrir con apósitos estériles. Las lesiones infectadas pueden ser tratadas con mupirocina tópica. Los apósitos estériles deben cambiarse dos veces al día.[7]​","El diagnóstico se realiza mediante el estudio con inmunofluorescencia directa de las biopsias de la piel sana de la zona perilesional. La enfermedad se confirma por la presencia de depósitos de IgA en disposición lineal siguiendo la unión dermoepidérmica. Esta inmunoglobulina
puede ser la única detectada, o bien puede acompañarse
de depósitos de IgG e IgM, en general mucho más débiles.[3]​"
Linitis plástica,"La linitis plástica (LP) o carcinoma esclerosante difuso es un adenocarcinoma gástrico infiltrante, difuso y maligno.","Las opciones terapéuticas incluyen:[1]​

Resección quirúrgica: Principalmente gastrectomía total de las LP localizada. En este caso la cirugía curativa es posible solo para el 20 al 25 % de los pacientes. Esto debido a la alta incidencia de afectación peritoneal y ganglionar a distancia.
Quimioterapia: Para este tipo de cáncer la quimioterapia es el único tratamiento alternativo, sin embargo, su eficacia es limitada.
Radioterapia: Los efectos beneficiosos de la radioquimioterapia complementaria tras la escisión completa del tumor primario parecen menores para la línitis plástica gástrica en comparación con la forma clásica del adenocarcinoma gástrico.","El diagnóstico de la linitis plástica puede ser difícil ya que por el engrosamiento de la pared visceral, la biopsia endoscópica única tiene un alto índice de falsos negativos. Para esto existen opciones diagnósticas que incluyen:[1]​

Biopsias endoscópicas múltiples.
Ecografía endoscópica: muestra un engrosamiento de la capa submucosa de la pared tumoral (de 10 a 20 mm), y también puede ser útil para la evaluación de la extensión local.
TAC."
Lipoma,Un lipoma es un tumor de tejido blando benigno.[1]​ Son nódulos subcutáneos blandos y móviles de adipocitos (células grasas) de crecimiento lento; la piel suprayacente es de apariencia normal. Corresponde al tumor de tejidos blandos más común en los adultos y  aumenta en prevalencia con el aumento de la edad del paciente. ,"Usualmente, el tratamiento de un lipoma no es necesario, a menos que el tumor sea doloroso o interfiera con el movimiento. Predominantemente se extraen debido a motivos estéticos. Son extirpados cuando son muy grandes, existe compresión de estructuras circundantes o el diagnóstico es incierto. Los tumores más profundos pueden recurrir si se extirpan de forma incompleta. Por lo general la escisión quirúrgica es curativa.[11]​
Los tratamientos del lipoma incluyen los siguientes:
Extracción quirúrgica. La mayoría de los lipomas se extraen de manera quirúrgica mediante un corte. La reaparición luego de que lo extraigan es poco frecuente. Los efectos secundarios que pueden ocurrir son la formación de cicatriz y de hematomas. Se puede disminuir la cicatriz con una técnica que se conoce como extracción con incisión mínima. Los lipomas normalmente se extirpan por escisión simple. La remoción a menudo se puede hacer bajo anestesia local, y toma menos de 30 minutos.La cicatrización mínima se puede lograr con una técnica llamada extracción segmentaria. Una incisión pequeña seguida de disección ciega del lipoma y extracción de manera segmentaria.
Liposucción: En este tratamiento se emplea una aguja y una jeringa grande para extraer el bulto de grasa.
Inyecciones de esteroides: Las inyecciones de esteroides también se pueden usar directamente en el área afectada. Se está estudiando su uso antes de la cirugía. Este tratamiento reduce el tamaño del lipoma, pero generalmente no lo elimina. El bulto reducido se puede extraer mediante cirugía.","Por lo general se hace clínicamente mediante el examen físico. Sin embargo, si hay duda el paciente debe ser derivado a un dermatólogo.
Algunos de los procedimientos diagnósticos que se pueden realizar corresponden a:

Radiografía preoperatoria.
Análisis de diagnóstico por imágenes, resonancia magnética o exploración por TC (tomografía computarizada), si es grande, posee características inusuales o parece ser más profundo que el tejido graso. La ecografía como la resonancia magnética se han utilizado con cierto éxito para diferenciar los lipomas y los liposarcomas, pero no son del todo confiables.
Aspiración con aguja fina, extracción de una muestra de tejido (biopsia) para un análisis de laboratorioExiste una leve posibilidad de que el bulto que aparenta ser un lipoma sea cáncer, liposarcoma.

Los liposarcoma son tumores cancerosos que se localizan en tejido graso, son de crecimiento rápido y por lo general son dolorosos."
Lisencefalia,"La lisencefalia, término que literalmente significa ""cerebro liso"",[1]​ es un trastorno poco común de la formación del cerebro caracterizado por microcefalia y agiria, que es una ausencia de las circunvoluciones o gyrus (pliegues) normales del cerebro. Es causada por una migración neuronal defectuosa, el proceso en el cual las células nerviosas se desplazan desde el lugar de origen a su localización permanente.[2]​ Este término no caracteriza una enfermedad sino un grupo de enfermedades.[3]​","El tratamiento para pacientes que sufren de lisencefalia es sintomático y depende de la gravedad y de la ubicación de las malformaciones del cerebro. Podría ser necesario un apoyo asistencial para proporcionar mayor comodidad a los pacientes o prestarles servicios de enfermería. Las convulsiones se pueden controlar con medicamentos y la hidrocefalia puede requerir realizar una derivación (shunt). Si la alimentación llega a ser difícil, pudiera considerarse la colocación de un tubo de gastrostomía (tubo de alimentación).","La lisencefalia se puede diagnosticar durante o poco después del nacimiento. El diagnóstico se puede confirmar por ultrasonido, por tomografía computarizada (CT) o por resonancia magnética (MRI por su sigla en inglés).[1]​
La lisencefalia se puede asociar a otras enfermedades, incluyendo la secuencia aislada de lisencefalia, el síndrome de Miller-Dieker y el síndrome de Walker-Warburg.[7]​"
Carcinoma lobulillar 'in situ',"El carcinoma lobulillar in situ (CLIS), es un término médico que se refiere a cambios neoplásicos no cancerosos en las células que revisten los lóbulos o lobulillos de la mama en los extremos distales de los conductos mamarios.[1]​ Se denomina in situ, porque la enfermedad no es infiltrante.[2]​ A pesar de que el carcinoma lobulillar in situ no es un cáncer, su presencia indica un riesgo mayor en la aparición de cáncer de mama, aunque no todas las pacientes con un carcinoma in situ, incluyendo los peores casos, desarrollan cáncer de mama.[3]​ El carcinoma lobulillar in situ es más frecuente en mujeres que aún no han arribado a la menopausia. Descrito por primera vez por Foote y Stewart en 1941, constituye entre el 3 al 5% de los carcinomas de la mama y es, por lo general, una enfermedad de mujeres premenopausicas.[4]​","El carcinoma lobulillar in situ casi siempre se trataba con una mastectomía o resección del seno. En el presente, se indican terapias menos agresivas y más conservadoras y no siempre es necesario tratar todos los casos diagnosticados, a menudo se recomienda hacer seguimiento médico cada 6-12 meses y mamografías cada 1 a 2 años en busca de cambios mamarios que puedan sugerir los estadios iniciales del cáncer de mama.[5]​
Muy rara vez se realiza una masetctomía bilateral, es decir, la remoción de ambos senos y ocurre solo en mujeres con un alto riesgo familiar de cáncer de mama o si es elección de la paciente para aliviar la ansiedad asociada al riesgo de contraer cáncer de mama. La radioterapia no juega ningún papel en el tratamiento del CLIS.[5]​","El carcinoma lobulillar in situ no aparece en una mamografía o radiografía del seno. Por lo general, se descubre al azar, cuando se extrae una muestra de tejido mamario con el fin de ser examinado bajo el microscopio o cuando se realiza una biopsia de alguna masa o tumoración en el seno."
Síndrome de Loeys-Dietz,"El síndrome de Loeys-Dietz es una enfermedad de causa genética y hereditaria según un patrón autosómico dominante. Afecta principalmente al tejido conectivo y se caracteriza por la aparición en edades tempranas de aneurisma de aorta y la existencia de otras manifestaciones en varios órganos, incluyendo paladar hendido, úvula bífida y extremidades largas. Los aneurismas pueden ocurrir en otras arterias, por ejemplo las arterias cerebrales. Debido a que estos aneurismas tienden a romperse tempranamente, los pacientes presentan riesgo de muerte y es importante el diagnóstico precoz. El tratamiento principal para reparar los aneurismas de aorta es la cirugía.","Ya que no hay cura conocida, este síndrome es una condición de por vida. Debido al alto riesgo de muerte por la rotura del aneurisma aórtico, los pacientes deben ser vigilados periodicamente para detectar de forma temprana la formación de aneurismas de aorta, el cual puede ser corregido mediante cirugía vascular. Si existe un incremento de la frecuencia cardiaca se prescribe en ocasiones atenolol para mejorar este síntoma. Se recomienda a los pacientes evitar el ejercicio extenuante, el levantamiento de objetos muy pesados y los deporte de contacto, por el riesgo de rotura de los aneurismas de aorta.","El diagnóstico se realiza a través de las características físicas y estudios genéticos. La presencia de úvula bífida permite el diagnóstico diferencial con el síndrome de Marfán. La severidad de los trastornos cardiovasculares es mayor en el síndrome de Loeys-Dietz que en el síndrome de Marfan. La enfermedad fue identificada en el año 2005 y la combinación de síntomas es variable dependiendo del paciente concreto, por ello muchos médicos pueden tener dificultades para alcanzar el diagnóstico exacto, siendo importante el estudio genético para la confirmación. En el año 2014 se publicaron guías para el manejo clínico de la enfermedad."
Lumbalgia,"El dolor lumbar, dolor lumbosacro, lumbalgia o lumbago es el dolor localizado en la parte baja de la espalda, correspondiente a la zona lumbar de la columna vertebral y que afecta alguna parte de la zona que se extiende desde la parte más baja de las costillas posteriores hasta la zona más alta de los glúteos, con o sin compromiso de las extremidades inferiores. Es uno de los motivos principales de consulta a los servicios médicos y se estima que aproximadamente un 80% de las personas lo presentará al menos una vez en la vida.[1]​[2]​","Varios cientos de guías clínicas se han desarrollado en el mundo para el manejo del dolor lumbar. Sin embargo, solo una decena de ellas puede ser considerada de «alta calidad».[1]​  Su eficacia puede ser inmediata o a más largo plazo. La lumbalgia es una patología multicausal por lo que se debe buscar la causa inicial del problema con objeto de prevenir nuevos ataques de lumbalgias agudas o paliar las lumbalgias crónicas.[11]​","El diagnóstico definitivo de una lumbalgia puede corresponder a alguna de las siguientes causas:[4]​

Degenerativas: especialmente en pacientes mayores de 60 años.
Traumáticas: prolapso de un disco intervertebral, fractura vertebral, daño en los ligamentos o músculos.
Inflamación: espondiloartropatías.
Infecciones: tuberculosis (enfermedad de Pott), inflamación séptica de un disco.
Tumores: primarios o metástasis.
Hereditarios o congénitos: estenosis, espondilolistesis, escoliosis, vértebra transicional.
Originado en otros órganos: litiasis renal, pancreatitis, aneurisma aórtico, patología intestinal."
Lupus eritematoso sistémico,"El lupus eritematoso sistémico (LES) es una de las enfermedades autoinmunitarias más prevalente; es crónica, caracterizada por un curso cíclico donde se alternan períodos de exacerbaciones y remisiones;  sistémica, ya que afecta prácticamente cualquier órgano del cuerpo; y heterogénea, puesto que el espectro de manifestaciones clínicas y alteraciones serológicas es muy amplio y variado. La mayoría de los casos presenta un cuadro clínico leve o moderado; sin embargo, puede presentarse o desarrollarse con un compromiso grave de órganos vitales.[4]​[5]​[6]​","Los pacientes con LES tienen una gran variabilidad clínica, siendo diferente el tratamiento según la afectación de órganos y sistemas que presenten y la gravedad de estas manifestaciones.
Los síntomas de la enfermedad suelen tratarse con antiinflamatorios no esteroideos (AINE), corticoides, antipalúdicos de síntesis, inmunosupresores y, en los últimos años, con fármacos biológicos.[48]​","Los pacientes con LES suelen presentar con datos clínicos muy variables, desde una enfermedad articular y cutánea leves, hasta un cuadro grave, con afectación renal, hematológica o del sistema nervioso central y con riesgo para la vida del paciente.[68]​ Por otra parte, no existe una prueba única e inequívoca para el diagnóstico del lupus, lo que unido a la variabilidad clínica de esta enfermedad, hace que el diagnóstico sea con frecuencia un reto para el médico.[68]​"
Enfermedad de Lyme,"La enfermedad de Lyme (conocida también como  borreliosis de Lyme) es una enfermedad infecciosa causada por algunas de las bacterias del género Borrelia, transmitida por garrapatas.[1]​ La enfermedad puede afectar la piel, sistema nervioso, corazón, articulaciones y músculos; la afectación varía según la especie de Borrelia causante.[2]​[3]​[4]​ ","El tratamiento consiste en la aplicación de antibióticos, que varían dependiendo del estado de la enfermedad, y de la edad del paciente. También se suele administrar ibuprofeno, para aliviar la inflamación. La indicación precoz, en la etapa temprana localizada, permite resolver en forma completa la gran mayoría de los casos.[18]​
El tratamiento de la infección precoz[31]​ (local o diseminada) consiste en grandes dosis de antibióticos por vía oral, donde la doxiciclina (100 mg v.o./12 h), durante 10-14 días, es el tratamiento de elección, aunque también podría utilizarse la amoxicilina (500 mg v.o./8 h) durante 14-21 días, si es un niño o una embarazada.
El pronóstico suele ser positivo, sin embargo, los síntomas de la artritis pueden persistir.
Para el tratamiento de la fase diseminada tardía[31]​ de la enfermedad, se utiliza generalmente ceftriaxona en dosis mayores (2 g i.v./24 h durante 14-28 días) que para el estadio primario, aunque también podría darse cefotaxima (2 g i.v./8 h durante 14-28 días) o penicilina G sódica.","El diagnóstico clínico se hace sobre la base de la observación del eritema migrans. En áreas endémicas este signo debiera llevar precozmente al tratamiento adecuado. En áreas no endémicas, deben considerarse diagnósticos diferenciales, tales como el eritema multiforme, el granuloma anular, dermatitis por hipersensibilidad, infecciones por estafilococos, eccema numular, mordedura de araña, tiña o urticaria.[9]​[18]​
Se ha demostrado en muchos estudios que las pruebas serológicas simples dan falsos negativos y falsos positivos, por lo que el diagnóstico debe combinar pruebas serológicas con signos clínicos. Entre las enfermedades que pueden producir falsos positivos están: sífilis, brucelosis, mononucleosis infecciosa, parotiditis, y enfermedades reumáticas como el lupus.[19]​[20]​[21]​[22]​
El CDC recomienda una prueba serológica en dos fases,[9]​ que consiste en dos análisis sucesivos: una prueba por inmunofluorescencia (IFA) o inmunoenzimática (ELISA), de alta sensibilidad, seguida, si el resultado es positivo de una prueba específica conocida como Western blot, que lo confirma.[23]​ Si el ELISA arroja un resultado negativo no es necesario confirmar, ya que su sensibilidad es alta. El diagnóstico por visualización directa de las espiroquetas en tejido o cultivo también tiene dificultades, por lo que tanto estos como la PCR a partir de muestras clínicas se recomiendan solo en ciertas circunstancias raras.[24]​ 
En la Unión Europea se han publicado las directrices de aplicación e interpretación adaptadas a las especies de Borrelia europeas.[25]​[26]​ La norma Conformité Européene (CE) proporciona un estándar mínimo para los kits de diagnóstico comerciales."
Linfoma MALT,"El linfoma MALT, también llamado linfoma de tejido linfoide asociado a mucosa, es un tipo de cáncer que se incluye dentro del grupo de los linfomas no Hodgkin, es uno de los subtipos de linfomas de células B. Suele originarse en el tejido linfoide de la mucosa del tracto gastrointestinal, sobre todo en el estómago, también en el tejido linfoide del pulmón, intestino delgado, glándula lagrimal, tiroides, mama y otras localizaciones.[1]​[2]​","La base del tratamiento es la quimioterapia en la que pueden emplearse diferentes agentes, entre ellos clorambucil, ciclofosfamida y fludarabina. La radioterapia se emplea en ocasiones, cuando el tumor afecta a la conjuntiva ocular o en las formas muy localizadas o recurrentes.","Se basa en la biopsia de una muestra de tejido obtenida por gastroscopia, broncoscopia u otros métodos, dependiendo de la localización del tumor."
Hipomagnesemia,La hipomagnesemia es un trastorno electrolítico en el cual se presenta un nivel bajo de magnesio en la sangre.[1]​,"El tratamiento para la hipomagnesemia depende del grado de deficiencia y de sus efectos clínicos. Para pacientes con síntomas leves el tratamiento oral resulta el más adecuado, mientras que para pacientes con efectos clínicos severos lo indicado es la terapia de reemplazo intravenosa.[10]​
Existen en el mercado numerosas preparaciones orales de magnesio. El óxido de magnesio, que es uno de los más comunes debido a su alto porcentaje de magnesio por unidad de masa, ha sido reportado como uno de los que menos biodisponibilidad presenta.[11]​[12]​ Se ha reportado que el citrato de magnesio presenta una mayor biodisponibilidad que en forma de óxido o como glicinato.[13]​
Se puede indicar sulfato de magnesio (MgSO4) en las siguientes condiciones:","El diagnóstico de hipomagnesemia se hace sobre la base de un hallazgo de magnesio en sangre menor a 0,7 mmol/l (1,7 mg/dl). Debido a que la mayor parte del magnesio es intracelular, se puede presentar deficiencia sistémica aun con una concentración normal en plasma. En adición a la hipomagnesemia en más del 60% de los casos se presenta además hipopotasemia y en más del 40% se presenta concomitantemente hipocalcemia. El ECG presenta un intervalo QT prolongado."
Episodio depresivo mayor,"Un episodio depresivo mayor es un periodo, con una duración mínima de dos semanas, caracterizado por un estado de ánimo deprimido, anhedonia, cambios en el apetito, sentimientos de inutilidad o culpa, problemas para concentrarse o tomar decisiones e ideación suicida o intentos de suicidio. Además, puede haber insomnio o hipersomnia.[1]​ Con base en la cantidad y gravedad de la sintomatología, el episodio se clasifica como leve, moderado o grave.[2]​","Los tratamientos más utilizados son la psicoterapia (terapias cognitivo-conductuales, terapia dialéctica conductual, terapia interpersonal, entre otras) y el uso de antidepresivos (inhibidor de la recaptación de serotonina y noradrenalina, inhibidor de la recaptación de dopamina y noradrenalina, inhibidor selectivo de la recaptación de serotonina, entre otros). Los planes de tratamiento pueden ser separados o incluir una combinación de ambos. En los casos más severos, el paciente puede ser hospitalizado.[7]​","Según el DSM IV, los criterios diagnósticos son:[1]​

Cinco o más de los siguientes síntomas por al menos dos semanasEstado de ánimo depresivo.
Anhedonia.
Pérdida o aumento de peso o disminución o incremento del apetito.
Presencia de insomnio o hipersomnia.
Enlentecimiento o agitación psicomotores.
Fatiga o pérdida de energía.
Sentimientos de culpa o inutilidad «excesivos o inapropiados».
Dismunción en la capacidad para concentrarse, pensar o tomar decisiones.
Ideación suicida con o sin plan específico o tentativa de suicidio.Por otro lado, la sintomatología: no cumple con los criterios diagnósticos del episodio mixto, implica un malestar signitificativo y un deterioro en las relaciones sociales, labores o en otras «áreas importantes de la actividad» del paciente, no es ocasionada por sustancias u otras enfermedades, no es causada por duelo y persiste por más de dos meses.[1]​ Los pacientes con al menos un segundo episodio se clasifican dentro del trastorno depresivo mayor recidivante[3]​ y, si al episodio depresivo, le sucede un episodio maniaco, se debe considerar el trastorno bipolar como diagnóstico. Alrededor del 15% de las personas sufren síntomas psicóticos.[5]​
Se deben descartar: el episodio depresivo ocasionado por una enfermedad médica (accidente vascular cerebral o hipotiroidismo) o inducido por sustancias (drogas, medicamentos). Así como demencia en personas ancianas, los «episodios maníacos con estado de ánimo irritable» o los episodios mixtos, el trastorno por déficit de atención con hiperactividad (por la «distraibilidad y la baja tolerancia a la frustración» en niños) y el trastorno adaptativo con estado de ánimo depresivo.[1]​"
Tumor maligno de la vaina del nervio periférico,Un tumor maligno de la vaina del nervio periférico (MPNST) es una forma de cáncer del tejido conectivo que rodea los nervios. Por su origen y comportamiento se clasifica como sarcoma. Aproximadamente la mitad de los casos se diagnostican en personas con neurofibromatosis; el riesgo de por vida de un MPNST en pacientes con neurofibromatosis tipo 1 es de 8 a 13%. Los MPNST con componente rabdomioblastomatoso se denominan tumores malignos de tritón.[1]​,"El tratamiento del neurofibrosarcoma es similar al de otros cánceres. La cirugía es una opción; la extirpación del tumor junto con el tejido circundante puede ser vital para la supervivencia del paciente. En el caso de tumores discretos y localizados, la cirugía suele ir seguida de radioterapia del área extirpada para reducir la posibilidad de recurrencia. Para los pacientes que padecen neurofibrosarcomas en una extremidad, si el tumor está vascularizado (tiene su propio suministro de sangre) y tiene muchos nervios que lo atraviesan o lo rodean, puede ser necesaria la amputación de la extremidad. Algunos cirujanos argumentan que la amputación debe ser el procedimiento de elección cuando sea posible, debido a la mayor probabilidad de una mejor calidad de vida. De lo contrario, los cirujanos pueden optar por un tratamiento que salve la extremidad, eliminando menos tejido circundante o parte del hueso, que se reemplaza por una varilla de metal o injertos. La radiación también se utilizará junto con la cirugía, especialmente si la extremidad no fue amputada. La radiación rara vez se usa como único tratamiento. En algunos casos, el oncólogo puede elegir medicamentos de quimioterapia cuando trata a un paciente con neurofibrosarcoma, generalmente junto con una cirugía. Los pacientes que reciben quimioterapia deben estar preparados para los efectos secundarios que acompañan a cualquier otro tratamiento de quimioterapia, como; caída del cabello, letargo, debilidad, etc.[3]​","La prueba más concluyente para un paciente con un potencial neurofibrosarcoma es una biopsia de tumor (tomar una muestra de células directamente del propio tumor). Las resonancias magnéticas, los rayos X, las tomografías computarizadas y las gammagrafías óseas pueden ayudar a localizar un tumor o una posible metástasis."
Hernia de Bochdalek,"La hernia de Bochdalek es una de las dos formas de hernia diafragmática congénita, siendo la otra forma la hernia de Morgagni. La hernia de Bochdalek es una anomalía congénita en la que existe una abertura en el diafragma del bebé, que permite que los órganos normalmente intraabdominales (especialmente el estómago y los intestinos) entren en la cavidad torácica.  En la mayoría de las personas, el pulmón afectado estará deformado,[1]​ y la compresión pulmonar resultante puede poner en peligro la vida. Las hernias de Bochdalek son más frecuentes en el lado posterior izquierdo (85%, frente al 15% del lado derecho).",,"Una forma de determinar si un bebé tiene realmente una hernia de Bochdalek sería que un pediatra le hiciera un examen físico.  También se puede realizar una radiografía de tórax para examinar las anomalías no sólo de los pulmones, sino también del diafragma y del intestino. Además, el médico puede realizar un análisis de sangre, extrayendo sangre arterial para comprobar y determinar la calidad de la respiración del bebé y su capacidad para respirar. También se puede realizar una prueba cromosómica (realizada mediante un análisis de sangre) para determinar si el problema es genético o no. Los médicos también pueden hacer una ecografía del corazón (ecocardiograma) para evaluar la salud del corazón.[cita requerida]"
Manchas café con leche,Las manchas café con leche son manchas de nacimiento pigmentadas.[1]​ El nombre café con leche hace referencia a su color marrón claro.,Pueden ser tratadas con láser.[6]​,"El diagnóstico es visual, midiendo el tamaño de las manchas y contando el número de las mismas, para determinar si tienen importancia clínica para el diagnóstico de los trastornos asociados, como la neurofibromatosis."
Espolón calcáneo,"El espolón calcáneo fue descrito por Jean Leliévre[1]​ a mediado del siglo XX, que describió la aparición de cristales de ácido úrico en forma de espuelas que invadían a la fascia plantar, pero solamente se evidenciaba al realizar la cirugía. Se usa erróneamente para referirse a la cicatrización de varios fascículos de la inserción de la fascia plantar en el calcáneo, que al cicatrizar lo hace con depósito cálcico en forma de hueso ,dando la imagen de espuela. Esta es una osificación heterotópica de dicha fascia plantar. Muchas veces es asociado con el dolor en el talón del pie, siendo en la mayoría de las veces una fascitis plantar o inflamación de la inserción de la fascia plantar, lo que lleva como consecuencia a la inflamación de las celdillas de la almohadilla calcánea, produciendo dolor sobre todo al levantarse o incorporarse después de estar sentado.","Se trata mediante plantillas que elevan ligeramente el talón y descargan la zona de tensión. También se utilizan los analgésicos (tipo AINE), administrados por vía oral, y las infiltraciones con antiinflamatorios esteroideos en el talón. La intervención quirúrgica, despegando la fascia de su lugar de origen en el talón, no siempre concluye con alivio del dolor, y puede originar complicaciones.[cita requerida]","El diagnóstico de espolón calcáneo es la aparición del síntoma junto a la elevación de niveles de ácido úrico en la sangre lo cual está altamente correlacionado con el subyaceente proceso de calcificación.[2]​ La sola aparición radiográfica de la osificación heterotópica en el calcáneo, es solamente el estigma de cicatrización de la fascia plantar en forma de hueso, la cual puede ser muchas veces indolora."
